Date,AAPL,MSFT,GOOGL,AMZN,NVDA,META,TSLA,LLY,V,UNH,AMGN,PM,LOW,UPS,COP,INTU,PFE,SPGI,MDT,DE,C,USB,SLB,HUM,CME,MU,NSC,AON,TGT,LRCX,ETN,MCO
2021-12-22,172.0311737060547,322.3986511230469,145.31704711914062,171.03700256347656,29.343158721923828,328.1577453613281,336.2900085449219,256.73583984375,211.48916625976562,461.8620910644531,195.11476135253906,76.77721405029297,231.01028442382812,173.2119598388672,61.2073974609375,614.3828735351562,48.486881256103516,457.5444641113281,89.79427337646484,327.6917724609375,51.375972747802734,46.288021087646484,26.962600708007812,437.799560546875,191.1680145263672,88.26768493652344,261.1526184082031,285.4953918457031,192.11917114257812,66.04716491699219,156.69940185546875,381.6267395019531
2021-12-23,172.65805053710938,323.84033203125,145.8147430419922,171.06849670410156,29.582693099975586,332.91448974609375,355.6666564941406,263.0940246582031,210.18898010253906,463.030517578125,197.10536193847656,76.7937240600586,231.37112426757812,176.32821655273438,61.302127838134766,618.3221435546875,47.802940368652344,458.0085144042969,91.1765365600586,329.7882385253906,51.901798248291016,46.48615646362305,27.026580810546875,442.1195983886719,192.64889526367188,92.25405883789062,263.20306396484375,283.9321594238281,195.00440979003906,66.76380157470703,157.92111206054688,383.8393249511719
2021-12-27,176.62481689453125,331.3487854003906,146.79733276367188,169.66949462890625,30.885173797607422,343.7785949707031,364.64666748046875,268.20953369140625,211.16896057128906,466.8814392089844,198.32078552246094,77.2978286743164,234.71092224121094,178.7546844482422,63.04157257080078,634.9156494140625,48.201908111572266,462.2237548828125,92.53221130371094,331.2330627441406,52.28108596801758,46.841129302978516,27.273359298706055,445.6620178222656,195.8240203857422,92.26383972167969,266.86468505859375,289.777587890625,197.7307891845703,69.12200927734375,160.39268493652344,385.9747009277344
2021-12-28,175.606201171875,330.18768310546875,145.58697509765625,170.66099548339844,30.263376235961914,343.8183288574219,362.8233337402344,266.302001953125,211.5764923095703,470.0968017578125,198.8492431640625,77.56224822998047,235.0069580078125,178.3973846435547,62.964046478271484,632.0073852539062,47.23297882080078,459.3233947753906,92.62083435058594,330.3075866699219,52.25522994995117,46.84939193725586,27.52013397216797,447.8411865234375,196.41294860839844,90.80803680419922,268.47576904296875,288.3890686035156,198.44549560546875,68.42449951171875,160.8907928466797,385.9263610839844
2021-12-29,175.6943817138672,330.864990234375,145.55523681640625,169.2010040283203,29.942996978759766,340.5610656738281,362.0633239746094,268.2191162109375,211.69293212890625,472.5643615722656,200.4610137939453,77.92585754394531,238.29127502441406,178.33091735839844,62.79183578491211,630.30517578125,46.88286590576172,458.7916564941406,92.1069107055664,326.4734802246094,52.1862678527832,46.72555160522461,27.099695205688477,450.26043701171875,195.55087280273438,93.96392822265625,270.7276306152344,291.96234130859375,201.10130310058594,69.4421157836914,161.37010192871094,384.6123962402344
2021-12-30,174.5386199951172,328.3202209472656,145.10414123535156,168.64450073242188,29.528799057006836,341.97119140625,356.7799987792969,267.0919189453125,211.40185546875,471.489501953125,199.46575927734375,77.89278411865234,237.19960021972656,177.74917602539062,62.24070358276367,625.7628784179688,47.5505256652832,454.8568420410156,92.56768035888672,323.98223876953125,52.0914421081543,46.73388671875,27.255075454711914,448.299072265625,195.16677856445312,91.7362289428711,269.79388427734375,291.136962890625,204.62184143066406,68.63758087158203,161.09756469726562,377.84881591796875
2021-12-31,173.92152404785156,325.41748046875,143.7657470703125,166.7169952392578,29.354135513305664,334.01678466796875,352.260009765625,266.09967041015625,210.27630615234375,469.3490295410156,198.14463806152344,78.5042953491211,239.13316345214844,178.11485290527344,62.32707214355469,625.626708984375,48.079769134521484,456.2586975097656,91.66387176513672,324.796875,52.05695724487305,46.75053024291992,27.373897552490234,445.9723205566406,194.99609375,91.1102523803711,272.5217590332031,291.8458557128906,204.20712280273438,68.7159194946289,162.41323852539062,377.3850402832031
2022-01-03,178.27027893066406,323.8983459472656,143.90420532226562,170.4044952392578,30.062763214111328,336.1916198730469,399.9266662597656,261.7742614746094,214.85617065429688,469.47991943359375,199.65956115722656,79.10755157470703,236.3854217529297,177.4167938232422,63.700035095214844,614.1981201171875,46.12563705444336,445.788330078125,94.011962890625,331.6359558105469,54.39301681518555,47.66606140136719,28.99165153503418,447.5010070800781,192.43551635742188,93.6533203125,267.6152648925781,284.7380676269531,204.65711975097656,69.31885528564453,158.50375366210938,370.6311340332031
2022-01-04,176.00779724121094,318.34442138671875,143.31666564941406,167.52200317382812,29.23337745666504,334.1955261230469,383.1966552734375,257.0344543457031,215.8555908203125,458.8430480957031,200.6724090576172,79.61161041259766,240.3636016845703,180.56626892089844,66.46322631835938,601.40771484375,44.39949035644531,444.55078125,94.26892852783203,351.6983642578125,54.815406799316406,48.914520263671875,30.399187088012695,441.2901916503906,193.98040771484375,94.23038482666016,269.78472900390625,285.7381591796875,206.61593627929688,68.03274536132812,161.1351318359375,373.2206115722656
2022-01-05,171.32598876953125,306.12384033203125,136.74180603027344,164.35699462890625,27.550630569458008,321.92132568359375,362.7066650390625,251.10011291503906,213.46859741210938,457.7120666503906,198.2943878173828,79.28934478759766,235.68231201171875,178.29766845703125,65.32341766357422,577.4612426757812,45.29513931274414,440.6255798339844,93.93222045898438,352.4182434082031,54.17750930786133,48.65650939941406,30.399187088012695,438.2521057128906,193.26341247558594,92.33287811279297,269.77557373046875,284.5050354003906,201.9307098388672,66.1035385131836,158.8327178955078,364.3121032714844
