Date,NSRGY,ASML,NVO,SHEL,LVMUY,AZN,RHHBY,SAP,NVS,TM,TTE,SIEGY,HSBC,SONY,HDB,UL,BUD,BTI,BP,DEO,RIO,VALE,GSK,SNY,ADDYY,VWAGY
2021-04-05,99.13587188720703,612.2433471679688,31.815017700195312,33.30766677856445,127.41075134277344,45.04723358154297,36.12899398803711,121.27942657470703,74.5749282836914,139.1111602783203,35.22444152832031,76.16899108886719,22.36909294128418,21.731813430786133,35.22419738769531,53.627376556396484,60.41664123535156,26.87309455871582,19.136314392089844,148.9452667236328,55.482757568359375,11.60702896118164,29.46809959411621,41.18936538696289,156.8144989013672,25.989620208740234
2021-04-06,99.4055404663086,600.3041381835938,31.675329208374023,33.34950256347656,127.05037689208984,44.76529312133789,35.61473083496094,118.19681549072266,73.79730987548828,137.5623016357422,35.21678924560547,75.37032318115234,22.27800750732422,21.441116333007812,35.03377151489258,53.798828125,60.00347137451172,26.735034942626953,19.798912048339844,149.7022247314453,54.7255744934082,11.626075744628906,29.419090270996094,40.869239807128906,155.48768615722656,25.951147079467773
2021-04-07,100.44944763183594,598.9276733398438,31.610145568847656,33.792945861816406,127.38304138183594,44.03770065307617,35.41426086425781,119.42985534667969,73.74604797363281,138.5023651123047,35.43106460571289,74.84088134765625,22.574033737182617,21.6284122467041,34.64362335205078,53.998863220214844,59.6935920715332,26.679811477661133,20.011886596679688,149.3325653076172,55.58696365356445,11.841960906982422,29.451766967773438,41.016990661621094,154.1990203857422,25.381061553955078
2021-04-08,101.9979019165039,611.66015625,32.243377685546875,32.696903228759766,129.53628540039062,45.01994705200195,36.085411071777344,122.54925537109375,74.33566284179688,137.32058715820312,34.8953857421875,75.02034759521484,22.991512298583984,21.42551040649414,34.49965286254883,54.31319046020508,61.16785430908203,27.466745376586914,19.499162673950195,154.01515197753906,55.71200180053711,11.956254005432129,29.778457641601562,41.36173629760742,157.2440643310547,24.831960678100586
2021-04-09,102.45025634765625,606.3453369140625,32.64845275878906,32.55466842651367,130.08152770996094,45.420127868652344,36.54737091064453,123.11055755615234,74.814208984375,138.1263427734375,34.42858123779297,75.15496826171875,22.695486068725586,21.809852600097656,34.25813674926758,54.056007385253906,61.40261459350586,26.852386474609375,19.238861083984375,154.49925231933594,55.156272888183594,11.568930625915527,29.933639526367188,41.673648834228516,159.24862670898438,24.53467559814453
2021-04-12,102.26757049560547,602.6270141601562,32.341148376464844,32.38733673095703,130.29408264160156,44.947181701660156,36.233585357666016,121.8315200805664,74.63475036621094,137.95619201660156,34.38266372680664,74.5357666015625,22.574033737182617,21.731813430786133,32.005531311035156,54.16080093383789,61.10212707519531,26.88689422607422,19.420289993286133,152.7828826904297,54.84366989135742,11.4863862991333,29.451766967773438,41.246822357177734,161.05274963378906,24.3143367767334
2021-04-13,101.87610626220703,601.3748168945312,32.95109939575195,32.33713150024414,136.63368225097656,44.73800277709961,36.33818435668945,123.699462890625,74.01094055175781,139.46035766601562,34.543365478515625,74.78703308105469,22.202104568481445,21.827407836914062,32.144866943359375,54.1417350769043,60.45419692993164,26.810970306396484,19.420289993286133,152.82693481445312,55.22573471069336,11.549881935119629,29.435426712036133,41.17294692993164,160.6136474609375,23.852672576904297
2021-04-14,101.11058807373047,603.162353515625,32.848670959472656,33.42479705810547,135.4415283203125,45.32917785644531,36.29459762573242,125.11656951904297,74.13057708740234,139.86322021484375,34.84181213378906,74.38321685791016,22.376684188842773,21.807899475097656,32.75794219970703,53.97029113769531,61.18663787841797,26.88689422607422,20.14598274230957,153.2141876220703,56.76789474487305,12.00705337524414,29.508941650390625,41.238609313964844,158.4563446044922,23.384016036987305
2021-04-15,101.7717056274414,613.7728881835938,33.29564666748047,33.2574577331543,136.50430297851562,46.22957992553711,36.47764205932617,128.08872985839844,74.51510620117188,140.8390655517578,34.811214447021484,75.35237884521484,22.21728515625,22.00104522705078,33.213111877441406,54.69419860839844,63.59992980957031,27.307979583740234,19.877790451049805,157.21022033691406,58.19889450073242,12.25468635559082,30.78305435180664,41.60798263549805,159.07679748535156,23.740751266479492
2021-04-16,103.30278015136719,617.2140502929688,33.60295104980469,32.947906494140625,141.1949920654297,46.14772033691406,36.70426559448242,128.18075561523438,75.21582794189453,141.07186889648438,34.71172332763672,78.5739517211914,22.46017837524414,21.67523193359375,33.35245132446289,54.83707809448242,63.98491668701172,27.96375274658203,19.862014770507812,157.53587341308594,58.9005126953125,12.400725364685059,30.832061767578125,42.10869598388672,159.3154296875,24.845951080322266
