Date,PG,JNJ,KO,PEP,MRK,ABBV,COST,WMT,MCD,UNH,LLY,PFE,PM,MO,CL,T,VZ,SO,DUK,NEE,AEP,D,ED,XEL,PEG,WEC,ES,DTE,EIX,PPL,CMS,AEE,FE,LNT,ATO,EVRG,NI,PNW,AWK,K,GIS,KMB,SJM,CAG,CPB,HSY,MKC,CHD
2019-08-06,97.7863998413086,108.87604522705078,42.846736907958984,103.86027526855469,65.6695785522461,49.37901306152344,245.14324951171875,32.55209732055664,184.17184448242188,223.22879028320312,102.47091674804688,26.138607025146484,58.13314437866211,27.60775375366211,60.26823425292969,16.291173934936523,38.026798248291016,44.23479461669922,68.54924774169922,45.071678161621094,70.7953872680664,56.60746383666992,68.51126098632812,49.60026931762695,45.58068084716797,71.43206024169922,61.46453094482422,87.4341049194336,54.45927810668945,22.483783721923828,48.915000915527344,62.33203125,33.52314376831055,41.418907165527344,92.45178985595703,47.57181930541992,22.786134719848633,71.16300201416016,103.9316177368164,45.79622268676758,41.720909118652344,107.18148803710938,89.49497985839844,21.33298110961914,33.01906967163086,129.3468780517578,68.63021087646484,69.10819244384766
2019-08-07,98.847412109375,108.4098129272461,43.592681884765625,104.9526596069336,65.59170532226562,49.1426887512207,249.68539428710938,32.83433151245117,186.5376739501953,221.5834503173828,102.21334838867188,25.876869201660156,58.16173553466797,27.649606704711914,60.77730941772461,16.33914566040039,38.05443572998047,44.6309928894043,68.48757934570312,45.38509750366211,71.27191162109375,56.0129280090332,68.851318359375,49.8957633972168,45.90183639526367,71.72463989257812,61.82170486450195,87.68034362792969,55.06791305541992,22.643352508544922,49.08938980102539,62.51486587524414,33.63896179199219,41.62419128417969,92.0933837890625,47.486202239990234,22.40502166748047,71.15532684326172,104.84330749511719,45.67738723754883,42.04666519165039,108.46427917480469,90.10148620605469,21.58768653869629,33.267147064208984,131.27362060546875,70.4616928100586,70.23747253417969
2019-08-08,100.49032592773438,109.63365936279297,44.01073455810547,106.3407211303711,65.96542358398438,49.897422790527344,250.14053344726562,33.09352493286133,187.55276489257812,222.63539123535156,104.83492279052734,26.082015991210938,58.9623908996582,27.81110382080078,61.87310028076172,16.569406509399414,38.558685302734375,45.205875396728516,68.84990692138672,45.88612365722656,71.62397766113281,56.690242767333984,69.2230224609375,50.59342575073242,46.43175506591797,72.57801818847656,62.23442840576172,88.43964385986328,55.75822448730469,22.650951385498047,49.88664627075195,63.42906951904297,34.16396713256836,42.1579475402832,93.37329864501953,48.202274322509766,23.353763580322266,70.97936248779297,106.14105987548828,46.412689208984375,42.92064666748047,110.38448333740234,91.81586456298828,21.765201568603516,33.63526916503906,132.95962524414062,71.59149932861328,71.4593276977539
2019-08-09,99.92555236816406,109.93341827392578,43.78941345214844,105.62616729736328,66.5804672241211,49.99654006958008,249.35772705078125,32.71538162231445,190.25413513183594,223.54348754882812,104.65095520019531,25.714162826538086,59.041015625,27.60775375366211,61.70915222167969,16.569406509399414,38.53105926513672,45.31464767456055,69.1891098022461,46.154762268066406,71.99205780029297,56.32147216796875,69.0094985961914,50.70011901855469,46.343441009521484,73.04129028320312,62.250308990478516,88.4943618774414,55.20895767211914,22.32421875,50.09426498413086,63.736572265625,34.125362396240234,42.28111267089844,92.63094329833984,48.5914306640625,23.167259216308594,70.71927642822266,107.15437316894531,46.18243408203125,42.8411979675293,110.24903869628906,90.44113159179688,22.112518310546875,33.443214416503906,133.742431640625,72.15638732910156,70.98725128173828
2019-08-12,99.2838134765625,109.8418197631836,43.60907745361328,105.42082214355469,66.19121551513672,49.19603729248047,246.96371459960938,32.08717727661133,186.82154846191406,218.661376953125,104.49459838867188,25.035058975219727,58.89091110229492,27.50010108947754,61.027523040771484,16.54062271118164,38.46889114379883,45.58654022216797,68.99638366699219,45.9351692199707,72.36014556884766,55.967796325683594,69.16765594482422,50.50313186645508,45.950016021728516,73.13880157470703,61.71059799194336,87.6051025390625,54.23661804199219,22.271026611328125,49.778690338134766,63.69502639770508,34.36470031738281,42.19078826904297,92.93814849853516,49.08957290649414,23.232126235961914,70.26026916503906,108.8965835571289,45.76651382446289,43.11928176879883,110.05783081054688,91.79967498779297,22.13567543029785,33.69929122924805,134.0950927734375,72.86251068115234,71.28343200683594
2019-08-13,100.32774353027344,111.08236694335938,43.854984283447266,106.71855163574219,67.01644897460938,49.56198501586914,251.4695281982422,32.75502395629883,189.0325164794922,224.07394409179688,106.42625427246094,24.900650024414062,60.01324462890625,27.978572845458984,61.85581970214844,16.722915649414062,38.93861389160156,44.43678283691406,69.24307250976562,45.971412658691406,72.21611022949219,56.72786331176758,69.19159698486328,50.380027770996094,46.271183013916016,73.35968780517578,61.83758544921875,87.71456909179688,54.340518951416016,22.521774291992188,49.903255462646484,63.58698654174805,34.109920501708984,42.24006271362305,93.08321380615234,49.611061096191406,23.28078269958496,71.1247329711914,108.29215240478516,46.56866455078125,43.2066764831543,111.0856704711914,92.18787384033203,22.313194274902344,33.819339752197266,133.63917541503906,73.75838470458984,72.59785461425781
2019-08-14,99.07846069335938,108.451416015625,43.436927795410156,106.05326080322266,64.92996215820312,48.41080093383789,244.08729553222656,32.386043548583984,186.23654174804688,218.661376953125,102.01860809326172,24.22154426574707,59.57004165649414,27.43430519104004,60.846317291259766,16.353530883789062,38.489620208740234,44.32802963256836,68.46444702148438,45.830692291259766,70.79978942871094,56.690242767333984,68.56945037841797,49.88755416870117,46.014244079589844,72.7215576171875,61.24229049682617,86.29861450195312,53.30878448486328,22.172243118286133,49.63751220703125,62.539791107177734,33.60808181762695,41.75557327270508,92.40910339355469,49.626617431640625,23.264568328857422,70.22967529296875,107.73216247558594,45.71452713012695,42.72201919555664,108.92642211914062,91.67029571533203,21.688018798828125,33.17912292480469,131.11024475097656,73.54657745361328,72.10396575927734
2019-08-15,100.44752502441406,108.6845474243164,44.158287048339844,107.36741638183594,64.97667694091797,48.01435852050781,247.1549072265625,34.365177154541016,187.77650451660156,219.6054229736328,101.96312713623047,24.391311645507812,60.39928436279297,27.207033157348633,61.5797233581543,16.473459243774414,38.890254974365234,44.77083969116211,69.56702423095703,46.29761505126953,72.30412292480469,57.984642028808594,69.3670425415039,50.50313186645508,46.375545501708984,74.19418334960938,62.55190658569336,88.00870513916016,53.49435043334961,22.202646255493164,50.883216857910156,63.00519561767578,34.063594818115234,42.34680938720703,93.32209777832031,50.0546989440918,23.540271759033203,71.74443054199219,110.66545104980469,47.17768478393555,43.16696548461914,110.9661636352539,92.52606201171875,22.26688575744629,33.73930740356445,133.75962829589844,74.58365631103516,73.32937622070312
2019-08-16,101.97918701171875,109.36727142333984,44.60093307495117,108.22164154052734,66.22232818603516,49.11980438232422,249.50341796875,34.456668853759766,187.94857788085938,220.90011596679688,102.23135375976562,24.511577606201172,60.69953536987305,27.799142837524414,62.36488342285156,16.775686264038086,39.13203430175781,45.13993835449219,69.94884490966797,46.378631591796875,72.20012664794922,57.84164047241211,69.55049896240234,50.72475051879883,46.6485481262207,73.9896240234375,62.4169807434082,88.43964385986328,53.81351089477539,22.34701156616211,50.82508850097656,63.69502639770508,34.4959602355957,42.396080017089844,94.235107421875,50.16366195678711,23.85651206970215,72.00453186035156,110.41656494140625,47.37078857421875,43.715187072753906,112.12142944335938,93.1943359375,22.74540901184082,34.123435974121094,133.70802307128906,74.99848937988281,73.98851776123047
2019-08-19,102.88619232177734,110.1082763671875,44.8304557800293,108.88693237304688,67.10208129882812,50.74367141723633,250.87786865234375,34.706729888916016,188.2152557373047,220.01898193359375,104.09062194824219,24.88650131225586,60.77102279663086,27.930721282958984,63.05514144897461,16.972368240356445,39.37379837036133,45.50117874145508,70.65010833740234,46.68351745605469,72.45614624023438,58.54151916503906,70.30026245117188,51.01203155517578,47.00983810424805,74.74230194091797,62.67890548706055,89.46569061279297,53.92485427856445,22.377405166625977,51.132362365722656,63.96928024291992,34.843387603759766,42.68347930908203,94.61054229736328,50.64624786376953,24.026805877685547,72.64714813232422,110.21212768554688,47.85356521606445,43.85819625854492,113.73092651367188,94.75098419189453,23.185340881347656,34.5635871887207,135.71224975585938,74.38948059082031,73.97920989990234
