,Weight
PNC,2.7375715213519787e-18
MU,2.532400571319532e-18
MSCI,2.4429300665672736e-18
INTU,2.4086692839486122e-18
ROK,2.3056167608953772e-18
WBD,2.142139093714834e-18
PFE,2.0621280042970195e-18
URI,1.8447543360167098e-18
ODFL,1.7950964504386596e-18
BA,1.7472598463579883e-18
MOH,1.722373856382152e-18
KLAC,1.6701422587226055e-18
TDG,1.5851479944906877e-18
NKE,1.5307262601541734e-18
J,1.5051765298473745e-18
MA,1.4466892665360804e-18
INTC,1.4017691581141394e-18
DVN,1.304862207715478e-18
GILD,1.302758586241059e-18
META,1.241241838181207e-18
EQR,1.2273271025201078e-18
IQV,1.0427348439322836e-18
CLX,1.0039726866839484e-18
GS,9.735252491660749e-19
HON,8.870276671318482e-19
MSI,8.728234693259185e-19
FTV,8.487227152263104e-19
ADM,6.272196754250236e-19
TGT,5.796169302036031e-19
MMC,5.630740875721402e-19
RJF,5.493223218415077e-19
GE,5.453420246889868e-19
HUBB,5.308641360911217e-19
PRU,4.690750962989793e-19
D,4.2053350297965707e-19
TDY,3.0225154587442577e-19
FAST,2.6823184428052485e-19
MPWR,1.9634498638011377e-19
USB,1.4491014234492259e-19
PSA,1.2051326341885212e-19
WAB,0.0
VRSK,0.0
VICI,0.0
WMT,0.0
A,0.0
ABT,0.0
ACGL,0.0
ADI,0.0
ADP,0.0
AEE,0.0
AIG,0.0
AJG,0.0
ES,0.0
HLT,0.0
HD,0.0
HCA,0.0
GLW,0.0
HBAN,0.0
FITB,0.0
FTNT,0.0
INVH,0.0
WMB,0.0
WM,0.0
WFC,0.0
HPQ,0.0
WY,0.0
IFF,0.0
HUM,0.0
EOG,0.0
EL,0.0
EFX,0.0
DXCM,0.0
DTE,0.0
DOW,0.0
LIN,0.0
LLY,0.0
LOW,0.0
ISRG,0.0
KHC,0.0
FDX,0.0
F,0.0
FCX,0.0
EXPE,0.0
EXPD,0.0
PEG,0.0
DAL,0.0
CVS,0.0
CTSH,0.0
CSCO,0.0
CSGP,0.0
CPRT,0.0
CPAY,0.0
PAYX,0.0
COST,0.0
COF,0.0
PCAR,0.0
NUE,0.0
MTB,0.0
NOW,0.0
NSC,0.0
MNST,0.0
MRK,0.0
NEE,0.0
LHX,0.0
KMI,0.0
LRCX,0.0
MCO,0.0
LYB,0.0
MCHP,0.0
MLM,0.0
CMCSA,0.0
CDNS,0.0
PLD,0.0
PH,0.0
PTC,0.0
PSX,0.0
STLD,0.0
STE,0.0
SCHW,0.0
SPG,0.0
SBUX,0.0
RF,0.0
ROP,0.0
ROST,0.0
PPG,0.0
PPL,0.0
BLK,0.0
BKNG,0.0
BAX,0.0
BDX,0.0
TEL,0.0
T,0.0
AME,0.0
AMD,0.0
BSX,0.0
BR,0.0
AVB,0.0
AMT,0.0
APH,0.0
APD,0.0
TYL,0.0
TT,0.0
TSLA,0.0
UNP,0.0
V,0.0
XYL,0.0
ZBH,0.0
ZTS,0.0
