,Weight (%),MCR,CCR,CCR (%),Stock Vol (%),W/CCR Ratio,Cumulative CCR (%)
ECL,1.3638432739099409e-15,0.13011535989457965,1.774569584245937e-18,1.8051116262132483e-15,20.650043535103148,1.9744251818533713,99.9999999999999
O,1.6775628837196382e-15,0.10466944850228524,1.755895818668378e-18,1.786116467247106e-15,17.593338922220592,4.48161173605491,99.9999999999999
RSG,1.5092218353159648e-15,0.11333579352468091,1.7104885431031017e-18,1.7399276889849232e-15,18.649479512013187,3.9094707642415605,99.9999999999999
BBY,9.39468551455442e-16,0.17039687935309408,1.6008250941837901e-18,1.6283768270901454e-15,44.777565748195244,inf,99.9999999999999
CVX,1.3627237993163553e-15,0.1105225733348524,1.5061174104509057e-18,1.5320391334230912e-15,25.492028309294707,6.0413091149396485e-16,99.9999999999999
TROW,9.45597451136965e-16,0.1571195689472782,1.485718639202849e-18,1.5112892797869047e-15,28.995356125166776,inf,99.9999999999999
SBAC,1.162151059262477e-15,0.12750427155394448,1.4817922424690708e-18,1.5072953060052113e-15,24.651484279377605,1.686200484852926,99.9999999999999
IBM,1.2310215549350132e-15,0.11875462880055625,1.4618950780179106e-18,1.4870556922992613e-15,30.58774966815305,inf,99.9999999999999
COP,1.0422727368920864e-15,0.1392855664826939,1.4517354858748203e-18,1.4767212438460212e-15,34.95451947850044,inf,99.9999999999999
BIIB,1.0992565113439725e-15,0.13127838082598645,1.4430861492165931e-18,1.4679230438208398e-15,32.80365563871688,2.1318826597951536e-16,99.9999999999999
IT,9.439153878756733e-16,0.15189479179335938,1.4337583131192345e-18,1.4584346667314125e-15,45.377569671610246,0.24661462608543003,99.9999999999999
CI,1.0435385008442422e-15,0.13627705258194053,1.4221035115083019e-18,1.4465792748234966e-15,34.60664676604596,inf,99.9999999999999
AON,1.257370754538495e-15,0.11178529742540406,1.405555637700904e-18,1.4297465962607473e-15,21.774386766263255,11.223056827085857,99.9999999999999
IDXX,8.387255174885303e-16,0.16398339642905901,1.3753705902948933e-18,1.3990420352820686e-15,41.589706402801255,1.5802048141307117,99.9999999999999
TMO,1.003505009735568e-15,0.13316626702648088,1.3363301608885797e-18,1.3593296826984756e-15,32.11645068759185,1.4684101175064197e-15,99.9999999999999
HPE,1.0299772218524082e-15,0.12418155207104482,1.279041700074549e-18,1.3010552326113514e-15,45.1527365232712,inf,99.9999999999999
C,9.489283177029849e-16,0.13432023208793376,1.2746027186867747e-18,1.2965398521028882e-15,31.63822328805888,inf,99.9999999999999
GWW,1.0677195976786746e-15,0.11836044612804554,1.2637576792090522e-18,1.2855081591099661e-15,23.771842546907273,inf,99.9999999999999
CAT,1.044299505319273e-15,0.11671412413806509,1.218845021011536e-18,1.2398225110541148e-15,32.12083803047558,0.7071744309707804,99.9999999999999
TSCO,7.448812602467858e-16,0.1539359918384442,1.1466403559795926e-18,1.166375134589935e-15,27.457004814953056,0.9748510435083507,99.9999999999999
LVS,6.96112147574952e-16,0.1550760853407947,1.0795034680409715e-18,1.0980827565160273e-15,39.45357576376185,inf,99.9999999999999
AMP,7.116810969900505e-16,0.14970328914939818,1.0654100104486241e-18,1.0837467370218693e-15,28.601354997347517,0.37482065258977376,99.9999999999999
LH,7.086366524996393e-16,0.13390591394096235,9.489063860502834e-19,9.652379736775515e-16,24.470543083909348,2.541535490261786e-16,99.9999999999999
MTD,5.555152562100287e-16,0.1696729269280648,9.425589947434938e-19,9.587813376877717e-16,33.30382805868105,0.9486833950973818,99.9999999999999
CBRE,6.253110190418443e-16,0.1470499738392221,9.195196899148052e-19,9.35345504359315e-16,28.22379988431894,2.762948837591356,99.9999999999999
JPM,7.650156109306487e-16,0.12013732013865282,9.190692536144243e-19,9.348873156188426e-16,25.364085096251777,11.835526028781327,99.9999999999999
BALL,7.287718366631804e-16,0.1257263466474754,9.162582056323234e-19,9.320278868089603e-16,26.06878512497312,3.422130088185519e-16,99.9999999999999
CL,7.577631841506566e-16,0.1198905279593554,9.084862821598448e-19,9.241222010907121e-16,21.67708789944497,inf,99.9999999999999
WELL,7.4704781915170935e-16,0.12035914835721764,8.991403929521648e-19,9.146154601796464e-16,21.606620615972744,0.2214325770349718,99.9999999999999
MMM,5.356994580763109e-16,0.16474080269729957,8.825155872799984e-19,8.977045256810616e-16,29.365863057049683,1.571770503145821e-16,99.9999999999999
KDP,8.257053466993738e-16,0.10509102488686599,8.677422113920222e-19,8.826768858462811e-16,26.753396470246386,inf,99.9999999999999
KMB,8.083461403409365e-16,0.10343723807448114,8.361309216503339e-19,8.505215355354819e-16,25.166078641814714,0.5276276060486909,99.9999999999999
SHW,6.145216344019194e-16,0.1331355939934775,8.181470281794214e-19,8.322281220355999e-16,24.32554208434696,5.898454880477158e-16,99.9999999999999
NXPI,4.685428343652271e-16,0.17286115284586498,8.099285450604232e-19,8.238681909516663e-16,46.47763000950677,0.25410696730691956,99.9999999999999
ITW,5.294020566650232e-16,0.14804890473502527,7.837739465372647e-19,7.972634467408863e-16,22.81359002871968,1.7889225591219062,99.9999999999999
APO,4.159854689835396e-16,0.18682868130496064,7.771801661222031e-19,7.905561810503258e-16,41.708080463998726,0.8375993531186081,99.9999999999999
QCOM,4.5061597524605385e-16,0.16711014239302446,7.530249978793965e-19,7.659852792297835e-16,38.545924499094774,5.655994517492262,99.9999999999999
DE,5.632028308726501e-16,0.1333745381569934,7.511691745635098e-19,7.640975154173952e-16,28.0431417476956,inf,99.9999999999999
FANG,4.880038665629296e-16,0.15180821721976578,7.408299697927082e-19,7.535803630311145e-16,39.58985200732234,inf,99.9999999999999
AAPL,4.793002515029987e-16,0.14826015350503557,7.1061128862836745e-19,7.228415894249152e-16,31.90202929573669,inf,99.9999999999999
JCI,5.773086803504288e-16,0.12247134876011924,7.070377273344157e-19,7.192065237188618e-16,31.125063144670644,inf,99.9999999999999
AMGN,5.504906512353315e-16,0.12821663921368476,7.058206121994687e-19,7.17968460866868e-16,27.78361392040347,inf,99.9999999999999
BKR,4.808135462590682e-16,0.1463384014575174,7.036148575867214e-19,7.157247431048872e-16,36.667095544194915,12.506553211698229,99.9999999999999
ETN,6.37393057680691e-16,0.11037777475861253,7.035402735338264e-19,7.15648875389016e-16,38.15144029318965,inf,99.9999999999999
STT,4.775375447147344e-16,0.1458436274083606,6.964580774487906e-19,7.084447879270682e-16,28.48376407863596,inf,99.9999999999999
TRGP,4.847492365100633e-16,0.14240257523980876,6.902953962456413e-19,7.021760410787008e-16,36.4143377211053,0.6432615024099938,99.9999999999999
ETR,5.536678273536624e-16,0.12337800054619709,6.831042950565192e-19,6.948611741515321e-16,21.57321902060991,3.021853178929698,99.9999999999999
WTW,6.161007808653963e-16,0.1104873425010827,6.807133799065955e-19,6.924291090622104e-16,20.67360512674102,inf,99.9999999999999
CDW,5.400503326716896e-16,0.12574146531198274,6.7906720172362e-19,6.907545985762378e-16,32.07256782052245,0.777206084842953,99.9999999999999
CMG,4.650171505949678e-16,0.14570463658044028,6.775515493111166e-19,6.892128603342457e-16,39.93392000088403,inf,99.9999999999999
ORLY,6.362267623753107e-16,0.10492038808550332,6.67531588188009e-19,6.790204460845605e-16,20.985989559253106,1.2955072922464964e-16,99.9999999999999
ABBV,5.450024036199705e-16,0.11794591833998122,6.428080899245453e-19,6.538714327394425e-16,26.860899331706133,0.7615500035876048,99.9999999999999
