Date,PEP,INTC,COST,PFE,MSFT,AAPL,NVDA,PM,IBM,ABBV,TXN,XOM,QCOM,BAC,WMT,MCD,CSCO,INTU,JPM,AMD,ORCL,CVX,UNH,MO,ADBE,PG,KO,ACN,JNJ,MRK,AVGO,LLY,CL,CRM
2019-10-21,112.5753402709961,45.731754302978516,274.6685485839844,25.791976928710938,130.9909210205078,57.85639190673828,4.874861240386963,59.442230224609375,96.77328491210938,59.7908935546875,109.51656341552734,51.406917572021484,68.61344146728516,26.627634048461914,36.515106201171875,181.4873809814453,39.32232666015625,251.7218017578125,104.23809814453125,32.029998779296875,50.399993896484375,88.3589859008789,220.34292602539062,27.773645401000977,266.8399963378906,102.54451751708984,44.77839279174805,171.61915588378906,107.38513946533203,66.23922729492188,24.662202835083008,99.81710815429688,58.930850982666016,142.81478881835938
2019-10-22,113.02194213867188,45.626487731933594,273.65594482421875,25.7707576751709,129.04161071777344,57.72409439086914,4.864913463592529,58.98440170288086,97.78057098388672,60.23179244995117,107.54256439208984,51.66867446899414,68.17037200927734,26.78214454650879,36.466304779052734,172.33734130859375,39.4550895690918,243.206298828125,105.28425598144531,31.510000228881836,49.4675178527832,89.26068878173828,225.3654327392578,28.249130249023438,261.0899963378906,105.21404266357422,44.46461868286133,167.3868408203125,108.37494659423828,63.7156867980957,24.48249626159668,101.60234832763672,58.2275390625,140.62142944335938
2019-10-23,113.67530059814453,45.37207794189453,271.2384033203125,26.01127052307129,129.86489868164062,58.498687744140625,4.851980686187744,59.42768859863281,98.087158203125,60.13895797729492,99.49590301513672,52.162254333496094,67.10182189941406,26.97099494934082,36.39616012573242,172.2854461669922,39.040218353271484,245.74072265625,105.56266784667969,31.360000610351562,49.485801696777344,89.39707946777344,223.84791564941406,28.499069213867188,261.32000732421875,105.920166015625,45.116939544677734,168.62356567382812,108.96211242675781,64.94609069824219,23.874391555786133,99.3453598022461,58.64430618286133,143.38780212402344
2019-10-24,114.0391845703125,45.819480895996094,270.9920654296875,25.742462158203125,132.41983032226562,58.59491729736328,4.89600133895874,59.187889099121094,97.86087799072266,59.40415573120117,99.0442123413086,51.66867446899414,68.62213134765625,26.91948699951172,36.31993103027344,169.526611328125,38.50916290283203,248.55368041992188,105.48674774169922,31.719999313354492,49.60464096069336,89.093994140625,220.8759002685547,28.62708854675293,269.70001220703125,107.46163177490234,45.092166900634766,169.47549438476562,106.9489517211914,64.71882629394531,24.043874740600586,99.75234985351562,59.33894729614258,146.34188842773438
2019-10-25,113.00543975830078,49.53030776977539,270.49041748046875,26.01127052307129,133.16734313964844,59.31658172607422,5.087006092071533,59.57302474975586,98.86085510253906,59.19530487060547,100.80078125,51.788326263427734,69.64724731445312,27.228511810302734,36.3016357421875,168.30718994140625,38.91575622558594,247.372802734375,106.3304443359375,32.709999084472656,49.52235794067383,89.91991424560547,221.23719787597656,28.529550552368164,270.9800109863281,106.1354751586914,44.38206100463867,167.70742797851562,107.66195678710938,64.46806335449219,24.683496475219727,101.93537139892578,59.399723052978516,148.6834716796875
2019-10-28,112.94751739501953,49.79349136352539,272.7163391113281,26.372053146362305,136.44140625,59.910762786865234,5.1429643630981445,59.6529541015625,99.24771881103516,60.58758544921875,100.37419891357422,51.332130432128906,72.14921569824219,27.331523895263672,36.35653305053711,165.8596649169922,39.13978576660156,248.2752227783203,106.73539733886719,33.689998626708984,49.95204162597656,89.77595520019531,223.1703643798828,28.035764694213867,271.3500061035156,106.3335189819336,44.23342514038086,167.52423095703125,108.358154296875,64.42102813720703,24.830833435058594,104.51612091064453,58.47935104370117,152.9318389892578
2019-10-29,112.54227447509766,49.4250373840332,269.9064025878906,27.029937744140625,135.15452575683594,58.525146484375,5.046716690063477,59.47856140136719,97.67839813232422,60.695892333984375,100.61675262451172,51.18257522583008,70.941650390625,27.52895164489746,35.72526931762695,166.58612060546875,39.19786834716797,248.16006469726562,106.66792297363281,33.029998779296875,50.09830856323242,89.5107421875,227.90386962890625,28.273517608642578,271.45001220703125,106.43685913085938,44.101322174072266,169.29229736328125,108.30784606933594,66.69378662109375,24.5421142578125,103.29512023925781,58.97426986694336,153.2282257080078
2019-10-30,113.2204360961914,49.653133392333984,273.5372314453125,27.220943450927734,136.8388671875,58.5179328918457,5.048706531524658,59.01348114013672,98.7221908569336,61.61634063720703,99.26834106445312,50.64413070678711,70.75054931640625,27.142669677734375,36.01498031616211,170.27902221679688,39.46339797973633,249.8881378173828,106.07733917236328,33.130001068115234,50.14401626586914,88.16956329345703,230.17129516601562,28.017486572265625,278.4100036621094,107.59077453613281,44.538944244384766,170.92291259765625,111.42823791503906,67.57151794433594,24.719268798828125,104.2663803100586,59.54735565185547,156.37994384765625
2019-10-31,113.44374084472656,49.59171676635742,271.63568115234375,27.143123626708984,135.66546630859375,59.840999603271484,4.999462127685547,59.18062973022461,97.61270904541016,61.53125762939453,99.4368896484375,50.53195571899414,69.8818130493164,26.842235565185547,35.758811950683594,170.11473083496094,39.421897888183594,247.20962524414062,105.3939437866211,33.93000030517578,49.814910888671875,88.00286102294922,228.2742156982422,27.304243087768555,277.92999267578125,107.22049713134766,44.943538665771484,169.8602752685547,110.75718688964844,67.91636657714844,24.941556930541992,105.40412902832031,59.56471633911133,154.61143493652344
2019-11-01,113.2452621459961,49.57416915893555,270.7031555175781,27.157270431518555,135.9967041015625,61.539329528808594,5.038511276245117,60.29243850708008,98.92658233642578,63.23291015625,99.47903442382812,52.050079345703125,72.60965728759766,27.29718780517578,35.86860656738281,167.72772216796875,39.02361297607422,246.23036193847656,107.8237533569336,34.88999938964844,50.28115463256836,88.05589294433594,227.83160400390625,27.468833923339844,277.82000732421875,106.66935729980469,44.505916595458984,172.42532348632812,110.05255126953125,66.56839752197266,25.260086059570312,104.07212829589844,58.01045608520508,157.82240295410156
