Date,PEP,COST,AZN,MSFT,SAP,AAPL,NVDA,GOOG,SHEL,ABBV,XOM,LVMUY,WMT,MCD,RHHBY,JPM,ASML,GOOGL,TSLA,V,AMZN,NVO,UNH,META,HD,PG,KO,JNJ,TM,MRK,AVGO,LLY,HSBC,NSRGY,MA
2024-06-11,156.19752502441406,842.5805053710938,77.10086822509766,427.88232421875,187.04879760742188,205.75253295898438,120.85828399658203,177.06475830078125,66.14981079101562,158.01605224609375,106.46002197265625,154.89877319335938,65.76374816894531,245.5694122314453,32.4315071105957,187.284423828125,1021.93408203125,175.4967041015625,170.66000366210938,271.67059326171875,187.22999572753906,137.47195434570312,478.7075500488281,504.48443603515625,323.8706970214844,161.24551391601562,60.37849426269531,140.2033233642578,198.4818572998047,124.47171783447266,143.47865295410156,856.7916870117188,40.12931823730469,101.93695068359375,444.5546875
2024-06-12,155.02418518066406,841.0924072265625,77.91829681396484,436.1694641113281,195.4329833984375,211.63262939453125,125.14643859863281,178.4261016845703,66.26274108886719,156.49903869628906,105.28314208984375,154.94757080078125,65.34981536865234,245.76254272460938,32.99283981323242,184.5574493408203,1054.3375244140625,176.6592559814453,177.2899932861328,267.3680725097656,186.88999938964844,138.89720153808594,475.6687316894531,505.8464050292969,331.99346923828125,159.0311279296875,59.74192810058594,138.91366577148438,198.810546875,122.92339324951172,146.86473083496094,858.256103515625,40.63880920410156,102.52791595458984,438.57501220703125
2024-06-13,154.55105590820312,839.257080078125,77.39280700683594,436.68365478515625,190.69581604003906,212.79470825195312,129.55455017089844,175.62391662597656,65.6510238647461,156.94189453125,104.43844604492188,153.51341247558594,65.73416137695312,245.00927734375,33.40900421142578,186.60989379882812,1038.406982421875,174.04598999023438,182.47000122070312,268.2285461425781,183.8300018310547,138.15065002441406,479.74945068359375,501.1343078613281,335.6014709472656,160.21533203125,59.846439361572266,138.9518585205078,192.72007751464844,122.13976287841797,164.88316345214844,874.1190185546875,40.02742004394531,103.30294799804688,440.5550537109375
2024-06-14,155.00526428222656,848.8901977539062,77.4511947631836,437.6626892089844,186.13705444335938,211.0565185546875,131.82357788085938,177.2436065673828,64.93578338623047,158.8546600341797,103.5557861328125,149.1133575439453,66.0495376586914,244.8933868408203,33.55417251586914,186.72549438476562,1013.9342041015625,175.6656036376953,178.00999450683594,267.7043762207031,183.66000366210938,138.16033935546875,479.5758056640625,501.6915283203125,334.5981750488281,160.5811767578125,59.889522552490234,139.037841796875,190.57391357421875,122.24362182617188,170.38748168945312,869.2899780273438,40.03668212890625,103.4192123413086,440.1887512207031
2024-06-17,157.2100372314453,861.0330810546875,77.17872619628906,443.39837646484375,188.3173370361328,215.2083282470703,130.92396545410156,177.65101623535156,65.07695770263672,159.8817138671875,102.8439712524414,151.31825256347656,66.44374084472656,244.82579040527344,33.467071533203125,187.88185119628906,1038.1702880859375,176.11277770996094,187.44000244140625,268.20880126953125,184.05999755859375,136.09519958496094,473.9664306640625,504.14947509765625,337.164306640625,161.2647705078125,59.95654296875,139.4295196533203,188.7080841064453,121.09442138671875,179.60194396972656,875.7815551757812,40.4813346862793,103.6226577758789,443.63397216796875
2024-06-18,157.53175354003906,863.8505859375,76.31263732910156,441.3908386230469,186.92987060546875,212.84434509277344,135.52200317382812,175.33575439453125,65.4345703125,161.46470642089844,103.8120346069336,148.7426300048828,66.62114715576172,242.19895935058594,33.85419845581055,189.82830810546875,1046.959228515625,173.97642517089844,184.86000061035156,270.6320495605469,182.80999755859375,136.51211547851562,466.0416564941406,497.04437255859375,341.38006591796875,162.28529357910156,59.966121673583984,139.14291381835938,187.68333435058594,121.55979919433594,177.01426696777344,882.1642456054688,40.49985885620117,103.87454986572266,445.6139831542969
2024-06-19,157.53175354003906,863.8505859375,76.31263732910156,441.3908386230469,186.92987060546875,212.84434509277344,135.52200317382812,175.33575439453125,65.4345703125,161.46470642089844,103.8120346069336,148.7426300048828,66.62114715576172,242.19895935058594,33.85419845581055,189.82830810546875,1046.959228515625,173.97642517089844,184.86000061035156,270.6320495605469,182.80999755859375,136.51211547851562,466.0416564941406,497.04437255859375,341.38006591796875,162.28529357910156,59.966121673583984,139.14291381835938,187.68333435058594,121.55979919433594,177.01426696777344,882.1642456054688,40.49985885620117,103.87454986572266,445.6139831542969
2024-06-20,157.72097778320312,855.6065063476562,76.4488754272461,440.7579650878906,189.75433349609375,208.26547241210938,130.7240447998047,176.58778381347656,65.90512084960938,162.1902313232422,106.0519027709961,148.84994506835938,67.02520751953125,245.10586547851562,34.08647537231445,191.43746948242188,1036.4638671875,175.17874145507812,181.57000732421875,273.7970886230469,186.10000610351562,136.69631958007812,469.40338134765625,499.2436218261719,340.9652404785156,161.42843627929688,59.53526306152344,141.17776489257812,188.0700225830078,123.15538787841797,170.34034729003906,876.7513427734375,41.03713607788086,102.88636779785156,447.99005126953125
2024-06-21,158.2887420654297,841.58837890625,76.76026916503906,444.792724609375,192.4202423095703,206.0902557373047,126.51585388183594,179.1216583251953,65.82041931152344,160.5507354736328,105.12179565429688,149.64996337890625,66.92665100097656,250.5043487548828,34.44456481933594,189.15379333496094,1022.5159301757812,178.48757934570312,183.00999450683594,272.214599609375,189.0800018310547,137.6367950439453,467.5335998535156,492.3574523925781,343.2419128417969,161.99647521972656,60.100162506103516,142.10443115234375,187.14198303222656,124.15264892578125,162.88372802734375,874.663330078125,40.296058654785156,101.64630889892578,450.30670166015625
2024-06-24,159.04574584960938,841.4395751953125,77.23710632324219,442.7061462402344,189.9723663330078,206.7358856201172,118.05946350097656,179.64834594726562,67.21324920654297,162.7650146484375,108.24432373046875,151.57191467285156,67.90232849121094,251.46043395996094,34.56070327758789,191.63986206054688,988.3958740234375,178.08016967773438,182.5800018310547,273.28277587890625,185.57000732421875,137.94703674316406,474.6930847167969,496.46728515625,338.49560546875,162.1793975830078,61.24913024902344,142.4578857421875,192.3623809814453,126.28012084960938,156.85751342773438,880.8283081054688,40.824073791503906,102.57635498046875,452.3955993652344
